Timepoint,Date,ISLAND,LOCATION,TRANSECT,DEPTH,Species,Number,Biomass,SumOfFiLofFi,Num_ha x (1000),bio_t_ha,Biomass g/m2,Ind/m2,Div,Even
During,01-Dec-20,OA,Backdoors,BB,,25,180.00,33290.69,562.28,14.40,2.66,266.33,1.44,2.07,0.64
During,01-Dec-20,OA,Channel,CA,,23,177.00,39385.56,515.50,14.16,3.15,315.08,1.42,2.26,0.72
During,01-Dec-20,OA,Channel,CB ,,19,163.00,22639.28,567.01,13.04,1.81,181.11,1.30,1.62,0.55
During,01-Dec-20,OA,Keyhole,KA,,21,130.00,23549.94,358.58,10.40,1.88,188.40,1.04,2.11,0.69
During,01-Dec-20,OA,Keyhole,KB,,24,318.00,64999.23,1302.20,25.44,5.20,519.99,2.54,1.67,0.52
During,01-Dec-20,OA,WitchesBrew,WB,,10,21.00,1672.71,20.45,1.68,0.13,13.38,0.17,2.07,0.90
During,01-Dec-20,OA,WitchesBrew,WA,,17,95.00,21876.98,220.05,7.60,1.75,175.02,0.76,2.24,0.79
After,09-Dec-20,OA,Backdoors,BA,,14,66.00,7088.77,143.41,5.28,0.57,56.71,0.53,2.02,0.76
After,09-Dec-20,OA,Backdoors,BB,,21,123.00,22405.87,395.18,9.84,1.79,179.25,0.98,1.60,0.53
After,09-Dec-20,OA,Channel,CA,,21,137.00,29532.34,436.82,10.96,2.36,236.26,1.10,1.73,0.57
After,09-Dec-20,OA,Channel,CB ,,16,130.00,20541.58,425.05,10.40,1.64,164.33,1.04,1.60,0.58
After,09-Dec-20,OA,Keyhole,KA,,19,319.00,45645.56,1401.20,25.52,3.65,365.16,2.55,1.37,0.47
After,09-Dec-20,OA,Keyhole,KB,,21,96.00,18050.37,231.19,7.68,1.44,144.40,0.77,2.16,0.71
After,09-Dec-20,OA,WitchesBrew,WA,,15,39.00,7605.60,47.60,3.12,0.61,60.84,0.31,2.44,0.90
After,09-Dec-20,OA,WitchesBrew,WB,,4,6.00,1059.34,3.30,0.48,0.08,8.47,0.05,1.24,0.90
After,16-Dec-20,OA,Backdoors,BA,,21,120.00,16227.81,306.23,9.60,1.30,129.82,0.96,2.24,0.73
After,16-Dec-20,OA,Backdoors,BB,,20,97.00,25247.92,261.35,7.76,2.02,201.98,0.78,1.88,0.63
After,16-Dec-20,OA,Channel,CA,,19,61.00,31314.15,111.22,4.88,2.51,250.51,0.49,2.29,0.78
After,16-Dec-20,OA,Channel,CB ,,21,98.00,24733.70,248.45,7.84,1.98,197.87,0.78,2.05,0.67
After,16-Dec-20,OA,Keyhole,KA,,16,184.00,24433.68,713.72,14.72,1.95,195.47,1.47,1.34,0.48
After,16-Dec-20,OA,Keyhole,KB,,15,88.00,10608.65,250.23,7.04,0.85,84.87,0.70,1.63,0.60
After,16-Dec-20,OA,WitchesBrew,WA,,16,120.00,32236.31,376.09,9.60,2.58,257.89,0.96,1.65,0.60
After,16-Dec-20,OA,WitchesBrew,WB,,4,4.00,753.62,0.00,0.32,0.06,6.03,0.03,1.39,1.00
After,30-Dec-20,OA,Backdoors,BA,,16,81.00,14295.95,189.05,6.48,1.14,114.37,0.65,2.06,0.74
After,30-Dec-20,OA,Backdoors,BB,,18,59.00,10424.71,124.50,4.72,0.83,83.40,0.47,1.97,0.68
After,30-Dec-20,OA,Channel,CA,,22,103.00,20800.53,265.18,8.24,1.66,166.40,0.82,2.06,0.67
After,30-Dec-20,OA,Channel,CB ,,15,67.00,10526.38,168.53,5.36,0.84,84.21,0.54,1.69,0.62
After,30-Dec-20,OA,Keyhole,KA,,16,244.00,39136.63,1030.43,19.52,3.13,313.09,1.95,1.27,0.46
After,30-Dec-20,OA,Keyhole,KB,,21,86.00,32165.22,222.65,6.88,2.57,257.32,0.69,1.87,0.61
After,30-Dec-20,OA,WitchesBrew,WA,,16,110.00,17107.76,371.66,8.80,1.37,136.86,0.88,1.32,0.48
After,30-Dec-20,OA,WitchesBrew,WB,,8,11.00,1486.40,4.16,0.88,0.12,11.89,0.09,2.02,0.97
After,13-Jan-21,OA,Backdoors,BA,,17,62.00,13717.71,120.69,4.96,1.10,109.74,0.50,2.18,0.77
After,13-Jan-21,OA,Backdoors,BB,,20,115.00,38533.24,320.01,9.20,3.08,308.27,0.92,1.96,0.66
After,13-Jan-21,OA,Channel,CA,,20,110.00,26752.76,307.46,8.80,2.14,214.02,0.88,1.91,0.64
After,13-Jan-21,OA,Channel,CB ,,17,80.00,17556.17,205.36,6.40,1.40,140.45,0.64,1.82,0.64
After,13-Jan-21,OA,Keyhole,KA,,20,219.00,23376.95,903.15,17.52,1.87,187.02,1.75,1.27,0.42
After,13-Jan-21,OA,Keyhole,KB,,16,106.00,30234.67,336.63,8.48,2.42,241.88,0.85,1.49,0.54
After,13-Jan-21,OA,WitchesBrew,WA,,13,58.00,12337.68,131.39,4.64,0.99,98.70,0.46,1.80,0.70
After,13-Jan-21,OA,WitchesBrew,WB,,5,6.00,179.17,1.39,0.48,0.01,1.43,0.05,1.56,0.97
After,20-Jan-21,OA,Backdoors,BA,,19,43.00,8239.38,59.78,3.44,0.66,65.92,0.34,2.37,0.81
After,20-Jan-21,OA,Backdoors,BB,,16,110.00,16548.84,312.03,8.80,1.32,132.39,0.88,1.86,0.67
After,20-Jan-21,OA,Channel,CA,,17,87.00,14691.00,210.27,6.96,1.18,117.53,0.70,2.05,0.72
After,20-Jan-21,OA,Channel,CB ,,16,72.00,7554.69,167.38,5.76,0.60,60.44,0.58,1.95,0.70
After,20-Jan-21,OA,Keyhole,KA,,24,111.00,19492.64,297.60,8.88,1.56,155.94,0.89,2.03,0.64
After,20-Jan-21,OA,Keyhole,KB,,19,108.00,19700.17,316.19,8.64,1.58,157.60,0.86,1.75,0.60
After,20-Jan-21,OA,WitchesBrew,WA,,11,18.00,4695.33,11.09,1.44,0.38,37.56,0.14,2.27,0.95
After,20-Jan-21,OA,WitchesBrew,WB,,16,167.00,31437.40,645.21,13.36,2.51,251.50,1.34,1.25,0.45
